time,lat,long
1649383943,24.52954,-81.7812
1649384844,24.52948,-81.78127
1649385744,24.52951,-81.78127
1649386645,24.52947,-81.78128
1649387546,24.52949,-81.78127
1649389166,24.52954,-81.78123
1649389166,24.52954,-81.78123
1649390247,24.52969,-81.78114
1649391147,24.52979,-81.78115
1649392048,24.52989,-81.78123
1649392768,24.52993,-81.78127
1649393849,24.52991,-81.78124
1649394569,24.53003,-81.78123
1649395650,24.53038,-81.78136
1649396370,24.53036,-81.7813
1649397451,24.53035,-81.78125
1649398351,24.53033,-81.7812
1649399072,24.53029,-81.78114
1649399972,24.53028,-81.78109
1649400872,24.53035,-81.78106
1649401953,24.53025,-81.78094
1649402673,24.53022,-81.78093
1649403754,24.53016,-81.78089
1649404654,24.53011,-81.78088
1649405375,24.53012,-81.78087
1649406456,24.53001,-81.78087
1649407356,24.52971,-81.78095
1649408256,24.52978,-81.78092
1649410057,24.5295,-81.78109
1649410848,24.52944,-81.78116
1649411859,24.52943,-81.78119
1649412759,24.52938,-81.78125
1649413659,24.5294,-81.78122
1649414560,24.52937,-81.78125
1649415460,24.52939,-81.78128
1649416361,24.52938,-81.7813
1649417262,24.52932,-81.78139
1649417982,24.52932,-81.78139
1649419062,24.52933,-81.78145
1649419963,24.52933,-81.78138
1649420863,24.52926,-81.78146
1649421584,24.52927,-81.78143
1649422665,24.52926,-81.78146
1649423385,24.52932,-81.78136
1649424465,24.52929,-81.78143
1649425366,24.52927,-81.78144
1649400872,24.53035,-81.78106
1649427166,24.52929,-81.78144
1649428067,24.52932,-81.78151
1649428967,24.52932,-81.78144
1649429868,24.52927,-81.78149
1649430769,24.52933,-81.78134
1649431669,24.52928,-81.78145
1649432569,24.52923,-81.78159
1649433470,24.52927,-81.78149
1649434370,24.52937,-81.78132
1649435272,24.52932,-81.78136
1649437072,24.52933,-81.78139
1649437972,24.52933,-81.78136
1649438873,24.52936,-81.78135
1649439774,24.52937,-81.78137
1649440674,24.52938,-81.78133
1649441574,24.52948,-81.78117
1649442475,24.52938,-81.7813
1649443375,24.52938,-81.78126
1649444276,24.52938,-81.78127
1649445176,24.52936,-81.78126
1649446077,24.52935,-81.78127
1649446977,24.52933,-81.78132
1649447878,24.5294,-81.78127
1649448778,24.52937,-81.78114
1649449678,24.52935,-81.78119
1649450579,24.52934,-81.78123
1649451480,24.52933,-81.78127
1649452380,24.52935,-81.7812
1649453281,24.52936,-81.7812
1649454902,24.52935,-81.7812
1649455982,24.52941,-81.78114
1649456883,24.52942,-81.78117
1649457783,24.52942,-81.78113
1649458684,24.52934,-81.78125
1649459584,24.52936,-81.78123
1649460485,24.52938,-81.7812
1649461385,24.52936,-81.78115
1649462285,24.52938,-81.7812
1649463186,24.52938,-81.78117
1649464086,24.52942,-81.78114
1649464987,24.52941,-81.78117
1649465887,24.52941,-81.78117
1649466788,24.52937,-81.78121
1649467688,24.52943,-81.78114
1649468589,24.52945,-81.78114
1649469310,24.52945,-81.78114
1649470390,24.52952,-81.78109
1649471290,24.5295,-81.78109
1649472191,24.52946,-81.78111
1649473091,24.52948,-81.78109
1649473992,24.52949,-81.78108
1649474892,24.52947,-81.78108
1649475792,24.52952,-81.78105
1649476693,24.5295,-81.78106
1649477594,24.52951,-81.78104
1649478314,24.5296,-81.781
1649479395,24.52963,-81.78098
1649480115,24.52956,-81.78101
1649481015,24.52955,-81.78106
1649481916,24.52957,-81.78104
1649482996,24.52968,-81.78098
1649483717,24.52965,-81.78101
1649484797,24.52954,-81.78105
1649517211,24.44192,-81.64093
1649518071,24.44546,-81.62044
1649518981,24.44873,-81.59853
1649519800,24.44754,-81.58327
1649520771,24.44522,-81.57235
1649521591,24.44662,-81.561
1649522482,24.44748,-81.54942
1649523430,24.45192,-81.52072
1649524451,24.45888,-81.48698
1649525271,24.468,-81.4594
1649526190,24.47821,-81.42894
1649527040,24.48574,-81.4017
1649527200,24.48649,-81.39648
1649527200,24.48649,-81.39648
1649529130,24.49537,-81.33006
1649530631,24.50938,-81.28084
1649531132,24.51373,-81.26493
1649532450,24.5272,-81.2196
